id,event_uei,name,reduction_key,clear_key,event_type,enterprise_id,vendor
141,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmDCCAckFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
142,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmDCCReqFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
143,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmDCCRspFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
144,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmDHCPFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
145,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmDynServAckFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
146,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmDynServReqFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
147,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmDynServRspFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
148,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmDynamicSATrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
149,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmInitTLVUnknownTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
150,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmSwUpgradeCVCFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
151,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmSwUpgradeFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
152,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmSwUpgradeInitTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
153,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmSwUpgradeSuccessTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
154,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmTODFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
155,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmtsBPKMTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.3,IETF/DOCSIS
156,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmtsBpiInitTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.3,IETF/DOCSIS
157,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmtsDCCAckFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.3,IETF/DOCSIS
158,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmtsDCCReqFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.3,IETF/DOCSIS
159,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmtsDCCRspFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.3,IETF/DOCSIS
160,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmtsDynServAckFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.3,IETF/DOCSIS
161,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmtsDynServReqFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.3,IETF/DOCSIS
162,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmtsDynServRspFailTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.3,IETF/DOCSIS
163,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmtsDynamicSATrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.3,IETF/DOCSIS
